nohup: ignoring input
Tue May  5 03:17:52 PM CDT 2026 - Starting alignment: sample-11-female
[M::mm_idx_gen::32.019*1.58] collected minimizers
[M::mm_idx_gen::33.974*2.30] sorted minimizers
[M::main::33.974*2.30] loaded/built the index for 195 target sequence(s)
[M::mm_mapopt_update::35.061*2.26] mid_occ = 694
[M::worker_pipeline::5263.707*19.04] mapped 80583 sequences
[M::worker_pipeline::5305.627*19.04] mapped 80299 sequences
[M::worker_pipeline::5377.776*19.05] mapped 80072 sequences
[M::worker_pipeline::5387.663*19.04] mapped 75810 sequences
[M::worker_pipeline::5431.786*19.04] mapped 107145 sequences
[M::worker_pipeline::5481.108*19.04] mapped 100632 sequences
[M::worker_pipeline::5548.075*19.05] mapped 95497 sequences
[M::worker_pipeline::5557.270*19.02] mapped 108192 sequences
[M::worker_pipeline::5639.094*19.02] mapped 131347 sequences
[M::worker_pipeline::5642.960*19.01] mapped 79236 sequences
[M::worker_pipeline::5714.499*18.96] mapped 71522 sequences
[M::worker_pipeline::5757.919*18.95] mapped 85091 sequences
[M::worker_pipeline::5804.009*18.96] mapped 79258 sequences
[M::worker_pipeline::5845.360*18.96] mapped 79276 sequences
[M::worker_pipeline::5937.280*18.89] mapped 77282 sequences
[M::worker_pipeline::5951.761*18.86] mapped 73251 sequences
[M::worker_pipeline::6001.825*18.87] mapped 79371 sequences
[M::worker_pipeline::6074.621*18.87] mapped 78579 sequences
[M::worker_pipeline::6087.550*18.83] mapped 78515 sequences
[M::worker_pipeline::6163.944*18.79] mapped 65105 sequences
[M::worker_pipeline::6202.212*18.79] mapped 82266 sequences
[M::worker_pipeline::6247.434*18.80] mapped 78222 sequences
[M::worker_pipeline::6281.864*18.80] mapped 78752 sequences
[M::worker_pipeline::6373.035*18.77] mapped 77934 sequences
[M::worker_pipeline::6387.521*18.74] mapped 78304 sequences
[M::worker_pipeline::6440.267*18.74] mapped 79033 sequences
[M::worker_pipeline::6480.536*18.75] mapped 77796 sequences
[M::worker_pipeline::6528.443*18.75] mapped 71542 sequences
[M::worker_pipeline::6597.509*18.76] mapped 77852 sequences
[M::worker_pipeline::6607.008*18.73] mapped 74999 sequences
[M::main] Version: 2.30-r1287
[M::main] CMD: minimap2 -ax map-ont -L -z 400,200 -Y -t 20 -R @RG\tID:S11\tSM:sample-11-female\tPL:ONT /data/hg38/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna /data/merged_fastq/sample-11-female.fastq.gz
[M::main] Real time: 6607.678 sec; CPU: 123776.316 sec; Peak RSS: 18.916 GB
time="2026-05-05T17:08:01-05:00" level=error msg="Removing container ebcbfef06fc9bf27c88c479bfec07158566c195bbded87f7a2e704025537d391: adding container ebcbfef06fc9bf27c88c479bfec07158566c195bbded87f7a2e704025537d391 exit code 0: unable to open database file: no such file or directory"
[bam_sort_core] merging from 29 files and 8 in-memory blocks...
time="2026-05-05T17:27:48-05:00" level=error msg="Removing container ab76f4490a2ce5212b6bf95b45c863e16d68100782a4228e44aa6a29961bc69c: adding container ab76f4490a2ce5212b6bf95b45c863e16d68100782a4228e44aa6a29961bc69c exit code 0: unable to open database file: no such file or directory"
time="2026-05-05T17:27:48-05:00" level=error msg="While recovering from a failure (saving incomplete layer metadata), error deleting layer \"ef24e53aa8bf87c28a82cecb38a072a4218d205cbfcb66218d3e0465e14c1c2a\": open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json1339534671: no space left on device"
Error: creating container storage: open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json2485413164: no space left on device
Tue May  5 05:27:48 PM CDT 2026 - DONE: sample-11-female
================================================
Tue May  5 05:27:48 PM CDT 2026 - Starting alignment: sample-17-male
time="2026-05-05T17:27:48-05:00" level=error msg="While recovering from a failure (saving incomplete layer metadata), error deleting layer \"ad6327e9df76dc0d1ce742805d6a19c336c54a5eef6be64f1c3dc1cd72002d93\": open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json2996876175: no space left on device"
Error: creating container storage: open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json1180079470: no space left on device
time="2026-05-05T17:27:48-05:00" level=error msg="While recovering from a failure (saving incomplete layer metadata), error deleting layer \"8135a7c2d047b17b2ceee15c578b22ba9b349213bda6a1cd086ba19b01194d9b\": open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json839208210: no space left on device"
Error: creating container storage: open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json3124795542: no space left on device
time="2026-05-05T17:27:48-05:00" level=error msg="While recovering from a failure (saving incomplete layer metadata), error deleting layer \"58655b2f6a757e33e5873e3bef19105f39c211902472efda95425b8bfacf4e72\": open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json2687263100: no space left on device"
Error: creating container storage: open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json4237923611: no space left on device
Tue May  5 05:27:48 PM CDT 2026 - DONE: sample-17-male
================================================
Tue May  5 05:27:48 PM CDT 2026 - Starting alignment: sample-23-kid
time="2026-05-05T17:27:48-05:00" level=error msg="While recovering from a failure (saving incomplete layer metadata), error deleting layer \"1bbd332eb4e0ba9624d8ee4dbede1eff43a62f75ddc074dfd8aa29d06677d21b\": open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json2326204827: no space left on device"
Error: creating container storage: open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json1598669856: no space left on device
time="2026-05-05T17:27:48-05:00" level=error msg="While recovering from a failure (saving incomplete layer metadata), error deleting layer \"4d1978f809e5e631c58bfc4200d803bf6b267a40b3c71fe10cfb8547eebf25a6\": open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json3374610562: no space left on device"
Error: creating container storage: open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json2934205080: no space left on device
time="2026-05-05T17:27:49-05:00" level=error msg="While recovering from a failure (saving incomplete layer metadata), error deleting layer \"25b98b2d56d734eb6201afbd1f12da8bc194cc6f0d6914be3a2db39eb8ce5c6c\": open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json495281288: no space left on device"
Error: creating container storage: open /home/dabrahmb/.local/share/containers/storage/overlay-layers/.tmp-volatile-layers.json2347299286: no space left on device
Tue May  5 05:27:49 PM CDT 2026 - DONE: sample-23-kid
================================================
Tue May  5 05:27:49 PM CDT 2026 - ALL THREE SAMPLES COMPLETE
BAM files saved in: /data1/campwatchme_project/campwatchme-project/minimap-diff-parameters-trial/drop-z-score
